
 
Strategy strategy report for EUR/USD instrument(s) from 2025-10-05 21:00:00 to 2025-10-12 20:59:59
Account Currency	EUR
Initial Equity	10’000
Final Equity	4’766.2
Turnover	251’583’937.39
Commission Fees	5267.46

Instrument EUR/USD

First tick time	2025-10-05 21:00:00
First BID	1.17382
First ASK	1.17458
Last tick time	2025-10-10 20:59:59
Last BID	1.16149
Last ASK	1.162
Positions total	383
Closed positions	375
Orders total	1470
Amount bought	125.26
Amount sold	125.08
Turnover	251’583’937.39
Commission Fees	5261.66

Opened orders:

Label	Amount	Direction	Open price	Profit/Loss at the end	Profit/Loss at the end in pips	Open date	Comment
MC_1	0.86332	BUY	1.1646389	-2342.88	-31.5	2025-10-08 13:15:53	MC
random_order_1416	0.349545	SELL	1.1616037	-119.38	-4.0	2025-10-10 16:18:00	
random_order_1417	0.012461	SELL	1.1613137	-7.37	-6.9	2025-10-10 16:23:00	
WE_MC_2	0.39159	BUY	1.1602138	429.65	12.8	2025-10-10 18:00:00	MC
random_order_1439	0.025036	SELL	1.1609837	-298.54	-9.44	2025-10-10 18:29:00	
random_order_1440	0.040553	SELL	1.1609537	-296.81	-9.23	2025-10-10 18:30:00	
random_order_1441	0.320718	SELL	1.1610737	-266.28	-0.32	2025-10-10 18:39:00	
random_order_1468	0.32537	SELL	1.1619737	-7.38	-0.3	2025-10-10 20:53:00	

Closed orders:

Label	Amount	Direction	Open price	Close price	Profit/Loss	Profit/Loss in pips	Open date	Close date	Comment
random_order_1	1.000	SELL	1.1719	1.17301	-948.05	-11.1	2025-10-05 21:03:00	2025-10-05 21:04:02	
random_order_2	0.899348	SELL	1.17209	1.17312	-790.81	-10.3	2025-10-05 21:07:00	2025-10-05 21:16:54	
random_order_30	0.003887	SELL	1.17078	1.17179	-3.36	-10.1	2025-10-05 23:36:00	2025-10-06 00:05:20	
random_order_26	0.007783	SELL	1.17082	1.17183	-6.71	-10.1	2025-10-05 23:24:00	2025-10-06 00:05:53	
random_order_25	0.005195	SELL	1.17093	1.17194	-4.48	-10.1	2025-10-05 23:22:00	2025-10-06 01:16:26	
random_order_20	0.043677	SELL	1.17102	1.17204	-38.05	-10.2	2025-10-05 23:07:00	2025-10-06 01:42:30	
random_order_14	0.05796	SELL	1.17159	1.1726	-49.97	-10.1	2025-10-05 22:12:00	2025-10-06 02:01:06	
random_order_17	0.003732	SELL	1.1716	1.1726	-3.18	-10.0	2025-10-05 22:42:00	2025-10-06 02:01:06	
random_order_4	0.814773	SELL	1.17258	1.17058	1390.70	20.0	2025-10-05 21:19:00	2025-10-06 06:14:15	
random_order_89	0.010216	SELL	1.17218	1.17018	17.44	20.0	2025-10-06 04:12:00	2025-10-06 06:42:01	
random_order_90	0.008988	SELL	1.17208	1.17007	15.43	20.1	2025-10-06 04:18:00	2025-10-06 06:43:01	
random_order_97	0.002769	SELL	1.17203	1.17003	4.73	20.0	2025-10-06 04:59:00	2025-10-06 06:43:05	
